时间,操作类型,操作内容,涉及文件或目录,运行命令,结果,备注
2026-04-27 19:03,知识切片生成,从处理后文本生成 RAG 知识切片 2402 条，覆盖文件 198 个,02_元数据\知识切片表.csv; 05_输出成果\knowledge_chunks.jsonl,D:\miniconda\envs\py311\python.exe scripts/16_build_knowledge_chunks.py --max-chars 280 --overlap 40 --min-chars 60,完成,max_chars=280; overlap=40; min_chars=60
2026-04-27 19:06,大规模扩库与知识切片,按1w+检索条目目标推进扩库：新增大规模候选池脚本和知识切片脚本；深分页扫描39个自动来源，清理后候选池228条；回填并抓取高分候选100条，成功99条，剔除结算数据清单28条后正式台账205条；生成知识切片2402条。,scripts/15_mass_crawl_candidates.py;scripts/16_build_knowledge_chunks.py;02_元数据/政策资料台账.csv;02_元数据/知识切片表.csv;05_输出成果/knowledge_chunks.jsonl;05_输出成果/大规模候选池_20260427.csv;05_输出成果/search.html;02_元数据/知识库管理工作簿.xlsx,15_mass_crawl_candidates.py --pages 25 --timeout 10;06_backfill_candidates_to_seed.py --candidate 大规模候选池 --min-score 55 --limit 100 --write;01_fetch_seed_urls.py --delay 0.25 --timeout 25;16_build_knowledge_chunks.py --max-chars 280 --overlap 40;12_doc_number_and_rule_list.py;13_build_policy_relations.py;09_build_search_page.py;04_export_excel_workbook.py,正式台账205条；知识切片2402条；规则清单205条；政策关联关系128条；搜索页205文档自检通过；Excel自检通过；本地路径缺失0；噪声关键词复查0。,距离1w+切片仍有差距，今天完成扩库机制和第一批净增71份高质量文件；检索评测9/10，未命中项为山东规则新增修订版排序超过旧标准文件。
2026-04-27 19:30,大规模候选池采集,按来源清单进行大规模候选采集，生成候选 150 条,05_输出成果\大规模候选池_20260427.csv; 05_输出成果\大规模候选池_20260427.summary.json,D:\miniconda\envs\py311\python.exe scripts\15_mass_crawl_candidates.py --pages 3 --timeout 12 --include-existing --limit 20,完成,pages=3; min_score=0; 扫描来源=51; 失败来源=0
2026-04-27 19:51,PDF文本抽取,抽取PDF文本 9 个，其中OCR 6 个,03_处理后文本; 02_元数据\政策资料台账.csv,14_extract_pdf_texts.py --ocr=True --force-ocr=False --max-pages=0,完成,OCR页数=218; dpi=150; min_text_chars=120
2026-04-27 19:56,大规模候选池采集,按来源清单进行大规模候选采集，生成候选 302 条,05_输出成果\大规模候选池_20260427.csv; 05_输出成果\大规模候选池_20260427.summary.json,D:\miniconda\envs\py311\python.exe scripts\15_mass_crawl_candidates.py --pages 10 --timeout 12 --include-existing --limit 25,完成,pages=10; min_score=0; 扫描来源=51; 失败来源=0
2026-04-27 19:58,数据采集,运行种子链接采集脚本，成功49条，失败0条,02_元数据/待采集链接.csv; 02_元数据/政策资料台账.csv; 01_原始资料; 03_处理后文本,D:\miniconda\envs\py311\python.exe scripts\01_fetch_seed_urls.py --timeout 20 --delay 0.5,成功,
2026-04-27 20:00,知识切片生成,从处理后文本生成 RAG 知识切片 3991 条，覆盖文件 248 个,02_元数据\知识切片表.csv; 05_输出成果\knowledge_chunks.jsonl,D:\miniconda\envs\py311\python.exe scripts\16_build_knowledge_chunks.py --max-chars 280 --overlap 40 --min-chars 60,完成,max_chars=280; overlap=40; min_chars=60
2026-04-27 20:02,来源扩展,新增四川发改通知公告 山西能源局JSON检索 江苏浙江福建四川贵州新疆监管办等自动采集来源 并登记国家电网经营区交易平台半自动来源,02_元数据/来源清单.csv; scripts/02_collect_official_candidates.py; scripts/01_fetch_seed_urls.py,,完成,来源清单由68条增至81条 自动采集源由39个增至51个 候选池302条 新增候选48条
2026-04-27 20:02,候选回填,将大规模候选池中质量分不低于55的新增候选回填到待采集链接 并完成实际下载入库,05_输出成果/大规模候选池_20260427.csv; 02_元数据/待采集链接.csv; 02_元数据/政策资料台账.csv,,完成,回填48条 新增实际入库49条 台账总数254条
2026-04-27 20:19,RAG索引构建,基于知识切片表构建本地RAG检索索引，切片 3991 条,02_元数据\知识切片表.csv; 05_输出成果\rag_index.pkl.gz; 05_输出成果\rag_index.summary.json,17_build_rag_index.py --max-features=80000,完成,TF-IDF char 2-4gram，本地离线检索索引
2026-04-27 20:20,RAG索引构建,基于知识切片表构建本地RAG检索索引，切片 3991 条,02_元数据\知识切片表.csv; 05_输出成果\rag_index.pkl.gz; 05_输出成果\rag_index.summary.json,17_build_rag_index.py --max-features=80000,完成,TF-IDF char 2-4gram，本地离线检索索引
2026-04-27 20:20,RAG查询测试,运行本地RAG查询：四川电力辅助服务市场交易实施细则有哪些主要依据,05_输出成果\rag回答_20260427_202038_四川电力辅助服务市场交易实施细则有哪些主要依据.md,"18_rag_query.py --query ""四川电力辅助服务市场交易实施细则有哪些主要依据"" --top-k 8",完成,返回切片=8; 本地检索增强草稿，未调用大模型
2026-04-27 20:52,PDF文本抽取,抽取PDF文本 0 个，其中OCR 0 个,03_处理后文本; 02_元数据\政策资料台账.csv,14_extract_pdf_texts.py --ocr=False --force-ocr=False --max-pages=0,完成,OCR页数=0; dpi=160; min_text_chars=120
2026-04-27 20:53,知识切片生成,从处理后文本生成 RAG 知识切片 4400 条，覆盖文件 252 个,02_元数据\知识切片表.csv; 05_输出成果\knowledge_chunks.jsonl,D:\miniconda\envs\py311\python.exe scripts\16_build_knowledge_chunks.py --max-chars 280 --overlap 40 --min-chars 60,完成,max_chars=280; overlap=40; min_chars=60
2026-04-27 20:53,RAG索引构建,基于知识切片表构建本地RAG检索索引，切片 4400 条,02_元数据\知识切片表.csv; 05_输出成果\rag_index.pkl.gz; 05_输出成果\rag_index.summary.json,17_build_rag_index.py --max-features=80000,完成,TF-IDF char 2-4gram，本地离线检索索引
2026-04-27 20:53,RAG查询测试,运行本地RAG查询：四川电力辅助服务市场交易实施细则有哪些主要依据,05_输出成果\rag回答_20260427_205346_四川电力辅助服务市场交易实施细则有哪些主要依据.md,"18_rag_query.py --query ""四川电力辅助服务市场交易实施细则有哪些主要依据"" --top-k 8",完成,返回切片=8; 本地检索增强草稿，未调用大模型
2026-04-27 20:55,RAG原型,新增本地RAG索引构建和查询脚本 生成四川辅助服务样例回答 并补充RAG使用说明,scripts/17_build_rag_index.py; scripts/18_rag_query.py; 05_输出成果/rag_index.pkl.gz; 00_说明/RAG使用说明.md,,完成,当前为本地检索增强草稿 未调用外部大模型；切片数4400
