资料编号,文件标题,质量状态,状态原因,是否可引用,缺失字段,人工复核状态,更新时间
AUTO-20260427-EC24CC36EA,关于印发修订后的《安徽电力中长期交易规则》的通知（华东监...,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-3ADCAA1520,国家能源局西北监管局关于印发《西北区域抽水蓄能电站参与跨省电力交易实施细则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-166CF8A8B5,华东能源监管局关于加强电力中长期批发交易监管的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-054169DB65,华中能源监管局关于印发《华中区域（东四省）电力互济交易实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-2C79213C08,关于修订山东省电力中长期交易规则有关条款的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-E6623247A3,山东能源监管办 山东省发展改革委 山东省能源局关于征求《山东省电力现货市场交易规则》、《山东省电力中长期市场交易规则》、《山东省电力零售市场交易规则》(征求意见稿)意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-90D968B235,华中能源监管局关于印发《湖北电力调峰辅助服务市场运营规则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-A0DD00C851,关于组织开展南方区域跨省电力备用辅助服务市场模拟试运行的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-6348CCF597,关于审定广西电力市场中长期电能量交易等实施细则的复函,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-167238164B,国家能源局华中监管局关于《华中省间电力调峰及备用辅助服务市场运营规则（征求意见稿）》公开征求意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-3CFB9AC233,跨省跨区送电参与南方（以广东起步）现货市场偏差处理办法解读,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-A21D2B578A,关于印发《江西省电力中长期交易实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-F79895D50A,关于印发《重庆市电力中长期交易规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D122E3E18C,关于印发《重庆电力调频辅助服务市场运营规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-9347AA22F9,华中能源监管局关于印发《江西电力调频辅助服务市场运营规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-897D121E2E,国家能源局西北监管局 陕西省发展和改革委员会关于印发《陕西省电力中长期交易规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-B436377657,关于印发《南方区域跨省（区）电力应急调度暂行规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-4EB78C6B0F,上海电力中长期交易规则—绿色电力交易专章,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-075F05064A,华东能源监管局关于扩展华东电力调峰辅助服务市场交易至日内...,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-C52ED507A1,国家能源局南方监管局 广东省能源局关于印发《广东电力市场运行规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-8C78A58B24,关于印发《区域电网输电价格定价办法(试行)》《跨省跨区专项工程输电价格定价办法(试行)》和《关于制定地方电网和增量配电网配电价格的指导意见》的通知(发改价格规﹝2017﹞2269号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-51EB30208F,关于印发《跨省跨区专项工程输电价格定价办法》的通知(发改价格规〔2021〕1455号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-DCD3AEB88C,关于印发《跨省跨区电力应急调度管理办法》的通知(发改运行规〔2025〕1193号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-B0F72F5007,关于建立健全电力辅助服务市场价格机制的通知(发改价格〔2024〕196号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-A0AD12B7E0,关于进一步加快电力现货市场建设工作的通知(发改办体改〔2023〕813号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-49126C771F,印发《关于加快储气设施建设和完善储气调峰辅助服务市场机制的意见》的通知(发改能源规〔2018〕637号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-7BEF23BDDE,印发《关于深化电力现货市场建设试点工作的意见》 的通知(发改办能源规〔2019〕828号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-11E67EF119,关于印发《内蒙古电力多边交易市场规则体系》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-33FCB0ED92,关于做好2025年内蒙古东部电力交易市场中长期交易有关事宜的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-6861D688D2,关于做好2025年内蒙古电力多边交易市场中长期交易有关事宜的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D2550973DB,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发《广东省虚拟电厂参与电力市场交易实施方案》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-8933E85058,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发广东省抽水蓄能参与电力市场交易实施方案的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-EC4C5789C9,国家发改委国家能源局关于印发《电力中长期交易基本规则（暂行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-0A3E4D6579,关于印发《山东电力辅助服务市场运营规则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-AD0E26D414,关于修订电力中长期交易规则的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-0378DA9BD2,关于修订山东省电力中长期交易规则的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-5F7D6C5FF5,关于征求《北京电力交易中心省间电力中长期交易实施细则（暂行）》意见的函,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-0276F5E7CC,关于修订《山东省电力市场监管办法(试行)》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-9AE540E7CE,关于征求《山东省电力现货市场交易规则》《山东省电力中长期市场交易规则》(征求意见稿)意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-5D282BE538,关于对山东广能节能科技有限公司违反电力市场交易规则情况的通报,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D51C84C078,关于征求山东电力现货市场结算试运行有关市场参数意见的公告,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-3CAEDBBD74,国家能源局华中监管局 江西省能源局关于印发《江西省电力辅助服务市场运营规则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-FA91B2D801,华北能源监管局关于再次征求华北电力调峰容量市场运营规则意见通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-12E862EC73,华中电力调峰辅助服务市场省间调峰辅助服 务河南电网售出电量分摊细则,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D18D54C2E0,华中能源监管局关于印发《新型市场主体参与华中电力调峰辅助服务市场规则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-F61B124506,华中能源监管局 四川能源监管办关于印发《川渝一体化电力调峰辅助服务市场运营规则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-20E8A38E78,华北能源监管局关于明确2022年京津唐电网电力中长期交易有关事项的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-ACF967E65E,华中能源监管局关于印发《华中区域电力市场信息披露办法》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-46701D6E76,国家能源局华中监管局 湖北省能源局 关于印发《湖北省电力中长期交易实施 细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D747CE2B16,关于印发《西藏电力辅助服务管理实施细则》《西藏电力并网运行管理实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-9BE26E7413,市工业和信息化局关于做好天津市2024年电力市场化交易工作的通知_委局文件_政务公开,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-EE7FE966EB,关于印发《广东、广西、海南发电机组进入及退出商业运营实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-6122A07CB6,国家能源局西北监管局关于公开征求《西北区域跨省电力中长期交易实施细则（征求意见稿）》意见建议的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-3AAD7C60CC,长三角省市间富余新能源消纳互济交易规则（试行）,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-5E3CE632ED,市工业和信息化局等部门关于印发《天津市电力需求侧管理实施细则》的通知_委局文件_政务公开,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-2C2D80BAFA,关于做好2021年电力中长期合同签订工作的通知(发改运行〔2020〕1784号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-BD45999335,关于做好2023年电力中长期合同签订履约工作的通知(发改运行〔2022〕1861号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-B903E2C09B,关于做好发电供热企业直保煤炭中长期合同全覆盖铁路运力保障有关工作的通知(发改办运行〔2021〕750号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-C2621C7DE7,关于印发《“十四五”新型储能发展实施方案》的通知(发改能源〔2022〕209号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-69BAE4E34E,关于建立煤电容量电价机制的通知(发改价格〔2023〕1501号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-BCED5F5381,关于抽水蓄能电站容量电价及有关事项的通知(发改价格〔2023〕533号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-0ABCD56E46,关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-42E984C2AA,关于进一步深化燃煤发电上网电价市场化改革的通知(发改价格〔2021〕1439号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-6E98A81878,关于国家电网有限公司省间电力现货交易规则的复函(发改办体改〔2021〕837号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-B85C17304B,关于印发《四川电力辅助服务市场交易实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-C78A139FE6,关于印发《部分条款修订稿》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-F447945296,关于印发《新疆电力辅助服务市场实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-AB6A507796,关于印发《四川2026年电力市场交易总体方案》及《四川电力市场规则体系V4.0》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-B587DC0124,关于印发《四川电力市场结算细则V1.0）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-E1D1006CB7,关于印发《江苏省电力中长期市场实施细则（2026版）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D816ADFC99,关于印发《新疆电力中长期市场实施细则》 的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-B23CD79013,关于印发《江苏电力辅助服务（调峰）市场启停交易补充规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-2C2684AFB7,关于印发《江苏电力辅助服务（调频）市场交易规则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-A83640585B,关于印发《江苏电力市场用户可调负荷参与辅助服务市场交易规则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-56F605665F,关于印发《江苏省电力中长期交易规则（2023版）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-3B4DEB2D95,浙江能源监管办 省发展改革委 省能源局关于印发《浙江电力现货市场规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D808C3C69B,浙江能源监管办关于征求《关于做好浙江省长三角“两个细则”结算试运行有关事项的通知（征求意见稿）》意见的函,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-0B5231DDC9,关于公开征求《四川电力辅助服务市场交易实施细则（征求意见稿）》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-AD1ACA65D0,关于公开征求《四川电力市场中长期交易规则（2024年修订版）补充修订条款》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-04351EFDD0,关于印发2026年浙江省电力中长期交易合同示范文本的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-E623436BEE,浙江能源监管办关于贯彻落实《电力市场信息披露基本规则》有关事项的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-3CBC11905B,关于印发《电力市场规则体系（V16.0）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-8B8776AC2F,关于印发《推动绿电直连项目有序建设实施方案》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-1188644239,关于印发《江苏电力并网运行管理实施细则》《江苏电力辅助服务管理实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-D4EAEA6B13,关于征求四川电力中长期市场实施细则有关意见的函,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-3A34896615,关于开展江苏售电企业电力市场交易规则执行情况专项监管工作的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-22A1964B41,关于印发《江苏省分布式发电市场化交易规则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-9F3288D69E,关于印发《江苏省电力中长期交易规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-DD7C4546BF,关于征求《华东区域跨省电力中长期交易规则（修订稿）》意见的函,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-FB654119A3,关于印发《新疆电力中长期市场实施细则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-C4E6EA0484,关于印发山西省电力市场化交易专项整治工作方案的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-C3DDFE1C05,关于山西电力现货市场由试运行转正式运行的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-A5A96B278D,关于印发电力市场规则体系（V14.0）的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-98DA675CE3,关于印发电力市场规则体系（V14.0）的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-2A3ABE6092,浙江能源监管办关于印发2025年浙江省电力中长期交易合同示范文本的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-5C3FEF8C0F,关于印发《电力市场规则体系（V15.0）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-002763E163,关于印发《新疆电力市场监管实施办法》 的通知 新监能市场〔2025〕24号,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-DB74AC69C2,浙江能源监管办关于开展2025年电力市场秩序突出问题专项监管的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-B7B2A6455E,关于开展四川省2025年电力市场秩序突出问题专项监管的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-08350D960F,关于进一步做好电力市场信息披露工作的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-4E8F5E6BB6,关于印发《分布式光伏发电开发建设管理实施细则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-9DEF0F2D44,关于印发《分布式光伏发电开发建设管理实施细则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-7369F01D27,浙江省发展和改革委员会 浙江省能源局 国家能源局浙江监管办公室关于浙江电力现货市场转正式...,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-6344CB4B08,关于公开征求《四川电力市场结算细则（征求意见稿）》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-9AE8418A06,江苏能源监管办关于公开征求《江苏电力调频辅助服务市场交易规则（征求意见稿）》意见的公告,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-790BD08DF9,关于印发《绿电园区规划、建设和运营工作指引（2025年）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-FDD3BF6D20,关于再次公开征求《四川电力市场结算细则（征求意见稿）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-F694D4BAAB,关于征求2026年浙江省电力中长期交易合同示范文本意见的函,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-87C8FAFF1E,国家能源局福建监管办公室 福建省发展和改革委员会关于印发《福建电力市场规则体系管理办法（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-8E9C5D7331,关于公开征求《新疆电力中长期市场实施细则（征求意见稿）》意见建议的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-175A83DAA9,关于将山西尚太（四期）、阳曲县绿电园区2个项目纳入省级绿电直连项目清单的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260427-3D2FA4A769,关于印发《四川省电力辅助服务管理实施细则》和《四川省电力并网运行管理实施细则...,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-B85D7DD04E,关于印发《省级电网输配电价定价办法》的通知(发改价格规〔2020〕101号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-F19174E368,关于印发《福建省电力市场中长期交易规则》补充修订内容的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-0628D0B13F,关于印发《贵州电力调峰辅助服务市场交易规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-32DD0BDC61,国家能源局西北监管局关于做好2025年迎峰度夏能源保供工作的通知（西北监能市场[2025]43号）,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-C1292B6683,国家能源局西北监管局关于做好2025年迎峰度冬能源保供工作的通知（西北监能市场〔2025〕82号）,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-EE25AD8C79,关于印发《区域电网输电价格定价办法》的通知(发改价格规〔2020〕100号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-67AB5EB68F,关于核定2020～2022年省级电网输配电价的通知(发改价格规〔2020〕1508号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-9C5CF5AFC7,关于第三监管周期省级电网输配电价及有关事项的通知(发改价格〔2023〕526号),机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-CA3E4C4B01,关于印发《湖北电网非统调发电企业辅助服务管理实施细则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-2F839964D5,关于印发《湖北电网非统调发电企业辅助服务管理实施细则（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-AC14F2D45A,关于印发《山东省新建电源接入电网监管暂行办法实施细则(试行)》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-938C076F58,关于印发《新疆电力辅助服务市场运营规则》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-53881076C7,关于转发《国家发改委 国家能源局关于印发电力中长期交易基本规则的通知》,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-2EA2D2C696,关于印发《新疆电力市场交易信用评价及评定管理办法（试行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-AC00442207,关于印发《江苏分布式发电市场化交易及电网企业输配电服务三方合同（示范文本）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-F9194BABA6,福建能源监管办关于转发国家能源局《电力现货市场信息披露办法（暂行）》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-4DA9E89D90,关于转发《发电企业与电网企业电费结算办法》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-151D70D93E,关于征求《福建电力市场中长期交易规则》补充修订意见的函,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-51C3E7A2FC,福建能源监管办关于转发国家能源局《发电企业与电网企业电费结算办法》的通知（闽监能市场〔2021〕12号）,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-63CC94BB35,福建能源监管办关于征求《关于完善福建省电力市场中长期交易规则的若干意见》（征求意见稿）意见的函,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-249D43FE0F,关于印发《京津唐电网燃煤发电机组灵活性改造能力验收监管暂行办法》的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-0CE4A6EDB8,关于征求《福建省电力调频辅助服务市场交易规则（试行）（2022年修订版）》（征求意见稿）意见的函,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-5990BDF80F,国家能源局福建监管办公室关于印发《福建省电力调频辅助服务市场交易规则（试行）（2022年修订版）》的通知（闽监能市场规〔2022〕45号 ）,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-3381A48EFB,关于征求《山东电网地方公用电厂并网运行管理实施细则》意见的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-B58BD846B2,关于公布2022年6月新疆电网、 天中、吉泉直流配套电源“两个细则” 考核补偿结果的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-528AAED7BF,广西电网中调直调电厂辅助服务补偿及并网运行考核清单（2023年1月份）,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-4BDB59627A,广西电网中调直调电厂辅助服务补偿及并网运行考核清单（2023年2月份）,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
AUTO-20260502-5D0F7AD380,关于公布2022年7、8月新疆电网、 天中、吉泉直流配套电源“两个细则” 考核补偿结果的通知,机器抽取,由规则词典抽取，尚未人工校验,否,,待人工复核,2026-05-05 01:24:21
