关系编号,源资料编号,源标题,源发布日期,目标资料编号,目标标题,目标发布日期,关系类型,主题链条,区域路径,匹配依据,证据文本,置信度,是否人工确认,备注
EVO-00122,AUTO-20260427-F447945296,关于印发《新疆电力辅助服务市场实施细则》的通知,2025-07-11,AUTO-20260502-938C076F58,关于印发《新疆电力辅助服务市场运营规则》的通知,2020-01-16,引用依据,辅助服务,新疆->新疆,规则名称：新疆电力辅助服务市场运营规则,"团发展改革委，编制了《新疆电力辅助服务市场实施细则》 ,现予以印发，并将有关事项通知如下： 一、《新疆电力辅助服务市场实施细则》自 2025年8月1日起执行，原《新疆电力辅助服务市场运营规则》 （新监能 〔 2020〕 17号） 不再执行。 二、为进一步配合新疆电力现货市场结算试运行工作， 在新疆电力现货市场试运行期间，加强调峰辅助服务市场与电力现货",中,否,仅由新政策明文引用旧政策时生成
EVO-00123,AUTO-20260427-C78A139FE6,关于印发《部分条款修订稿》的通知,2025-07-11,AUTO-20260427-AF700450D9,电力市场注册基本规则,2024-09-13,引用依据,中长期,新疆->南方区域,规则名称：电力市场注册基本规则,"制改革、建设全国统一电力市场的重要精神，进一步规范新疆电力中长期市场运营管理，维护市场经营主体的合法权益，按照《电力中长期交易基本规则》《电力现货市场基本规则》《电力市场注册基本规则》等要求，国家能源局新疆监管办公室会同新疆自治区发展改革委、新疆生产建设兵团发展改革委，对《新疆电力中长期市场实施细则》部分条款进行了修订完善 ,现予以印发，并将",中,否,仅由新政策明文引用旧政策时生成
EVO-00124,AUTO-20260427-C78A139FE6,关于印发《部分条款修订稿》的通知,2025-07-11,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,2024-09-13,引用依据,中长期,新疆->全国,规则名称：电力市场注册基本规则,"制改革、建设全国统一电力市场的重要精神，进一步规范新疆电力中长期市场运营管理，维护市场经营主体的合法权益，按照《电力中长期交易基本规则》《电力现货市场基本规则》《电力市场注册基本规则》等要求，国家能源局新疆监管办公室会同新疆自治区发展改革委、新疆生产建设兵团发展改革委，对《新疆电力中长期市场实施细则》部分条款进行了修订完善 ,现予以印发，并将",中,否,仅由新政策明文引用旧政策时生成
EVO-00125,AUTO-20260427-C78A139FE6,关于印发《部分条款修订稿》的通知,2025-07-11,AUTO-20260427-FB654119A3,关于印发《新疆电力中长期市场实施细则》的通知,2023-01-04,引用依据,中长期,新疆->新疆,规则名称：新疆电力中长期市场实施细则,"电力中长期交易基本规则》《电力现货市场基本规则》《电力市场注册基本规则》等要求，国家能源局新疆监管办公室会同新疆自治区发展改革委、新疆生产建设兵团发展改革委，对《新疆电力中长期市场实施细则》部分条款进行了修订完善 ,现予以印发，并将有关事项通知如下： 一、《新疆电力中长期市场实施细则》（新监能市场﹝ 2022﹞93号）继续执行。自2025年8月1日",中,否,仅由新政策明文引用旧政策时生成
EVO-00126,AUTO-20260427-C78A139FE6,关于印发《部分条款修订稿》的通知,2025-07-11,AUTO-20260427-E24F3D75D9,关于印发《电力中长期交易基本规则》的通知,2020-06-14,引用依据,中长期,新疆->南方区域,规则名称：电力中长期交易基本规则,、售电企业、电力用户： 为贯彻落实党中央深化电力体制改革、建设全国统一电力市场的重要精神，进一步规范新疆电力中长期市场运营管理，维护市场经营主体的合法权益，按照《电力中长期交易基本规则》《电力现货市场基本规则》《电力市场注册基本规则》等要求，国家能源局新疆监管办公室会同新疆自治区发展改革委、新疆生产建设兵团发展改革委，对《新疆电力中长期市场实施,中,否,仅由新政策明文引用旧政策时生成
EVO-00127,AUTO-20260427-51C6A877DC,关于有序推动绿电直连发展有关事项的通知(发改能源〔2025〕650号),2025-05-30,AUTO-20260427-AF700450D9,电力市场注册基本规则,2024-09-13,引用依据,绿电,全国->南方区域,规则名称：电力市场注册基本规则,电网反送电。项目应按照有关管理要求和技术标准做好无功和电能质量管理。 四、交易与价格机制 （十二）作为整体参与市场。 并网型绿电直连项目享有平等的市场地位，按照《电力市场注册基本规则》进行注册，原则上应作为整体参与电力市场交易，根据市场交易结果安排生产，并按照与公共电网的交换功率进行结算。项目负荷不得由电网企业代理购电。项目电源和负荷不是同一,中,否,仅由新政策明文引用旧政策时生成
EVO-00128,AUTO-20260427-51C6A877DC,关于有序推动绿电直连发展有关事项的通知(发改能源〔2025〕650号),2025-05-30,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,2024-09-13,引用依据,绿电,全国->全国,规则名称：电力市场注册基本规则,电网反送电。项目应按照有关管理要求和技术标准做好无功和电能质量管理。 四、交易与价格机制 （十二）作为整体参与市场。 并网型绿电直连项目享有平等的市场地位，按照《电力市场注册基本规则》进行注册，原则上应作为整体参与电力市场交易，根据市场交易结果安排生产，并按照与公共电网的交换功率进行结算。项目负荷不得由电网企业代理购电。项目电源和负荷不是同一,中,否,仅由新政策明文引用旧政策时生成
EVO-00129,AUTO-20260425-E98D78E2BB,电力市场信息披露基本规则（国能发监管〔2024〕9号）,2025-05-16,AUTO-20260502-F9194BABA6,福建能源监管办关于转发国家能源局《电力现货市场信息披露办法（暂行）》的通知,2020-12-14,引用依据,电力市场,南方区域->福建,规则名称：电力现货市场信息披露办法（暂行,时性、完整性、准确性等 情况作出评价，评价结果向所有 市场成员 公布。 第 七 章 附 则 第五十条 本 规则 自 2024 年 1 月 31 日 起施行 ，《电力现货市场信息披露办法（暂行）》（国能发监管 〔 2020 〕 56 号）同时废止 。 第五十一条 本 规则 由国家能源局负责解释。 第五十二条 本规则有效期五年。 附 表 ：电力市场信息,中,否,仅由新政策明文引用旧政策时生成
EVO-00130,AUTO-20260427-B7B2A6455E,关于开展四川省2025年电力市场秩序突出问题专项监管的通知,2025-05-08,AUTO-20260427-EC24CC36EA,关于印发修订后的《安徽电力中长期交易规则》的通知（华东监...,2025-02-21,引用依据,电力市场,四川->华东区域,文号：中发〔2015〕9号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00131,AUTO-20260427-B7B2A6455E,关于开展四川省2025年电力市场秩序突出问题专项监管的通知,2025-05-08,AUTO-20260427-3AAD7C60CC,长三角省市间富余新能源消纳互济交易规则（试行）,2024-12-13,引用依据,电力市场,四川->华东区域,文号：中发〔2015〕9号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00132,AUTO-20260427-B7B2A6455E,关于开展四川省2025年电力市场秩序突出问题专项监管的通知,2025-05-08,AUTO-20260427-075F05064A,华东能源监管局关于扩展华东电力调峰辅助服务市场交易至日内...,2024-12-13,引用依据,电力市场,四川->华东区域,文号：中发〔2015〕9号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00133,AUTO-20260427-B7B2A6455E,关于开展四川省2025年电力市场秩序突出问题专项监管的通知,2025-05-08,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,2024-09-13,引用依据,电力市场,四川->全国,文号：国能发监管规〔2024〕76号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00134,AUTO-20260427-B7B2A6455E,关于开展四川省2025年电力市场秩序突出问题专项监管的通知,2025-05-08,AUTO-20260427-69BAE4E34E,关于建立煤电容量电价机制的通知(发改价格〔2023〕1501号),2023-11-10,引用依据,电力市场,四川->全国,文号：发改价格〔2023〕1501号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00135,AUTO-20260427-B7B2A6455E,关于开展四川省2025年电力市场秩序突出问题专项监管的通知,2025-05-08,AUTO-20260427-A0AD12B7E0,关于进一步加快电力现货市场建设工作的通知(发改办体改〔2023〕813号),2023-11-01,引用依据,电力市场,四川->全国,文号：发改办体改〔2023〕813号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00136,AUTO-20260425-54244C417B,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号),2025-04-29,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,电力市场;辅助服务,全国->南方区域,规则名称：电力市场运行基本规则,力（集团）有限责任公司，北京、广州电力交易中心，有关发电企业： 为贯彻落实加快建设全国统一电力市场要求，指导全国电力辅助服务市场建设，适应电力改革发展需要，根据《电力市场运行基本规则》（中华人民共和国国家发展和改革委员会2024年第20号令）、《国家发展改革委、国家能源局关于加快建设全国统一电力市场体系的指导意见》（发改体改〔2022〕118,中,否,仅由新政策明文引用旧政策时生成
EVO-00137,AUTO-20260425-54244C417B,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号),2025-04-29,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,电力市场;辅助服务,全国->全国,规则名称：电力市场运行基本规则,力（集团）有限责任公司，北京、广州电力交易中心，有关发电企业： 为贯彻落实加快建设全国统一电力市场要求，指导全国电力辅助服务市场建设，适应电力改革发展需要，根据《电力市场运行基本规则》（中华人民共和国国家发展和改革委员会2024年第20号令）、《国家发展改革委、国家能源局关于加快建设全国统一电力市场体系的指导意见》（发改体改〔2022〕118,中,否,仅由新政策明文引用旧政策时生成
EVO-00138,AUTO-20260425-54244C417B,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号),2025-04-29,AUTO-20260427-B0F72F5007,关于建立健全电力辅助服务市场价格机制的通知(发改价格〔2024〕196号),2024-02-08,引用依据,电力市场;辅助服务,全国->全国,文号：发改价格〔2024〕196号,家能源局关于加快建设全国统一电力市场体系的指导意见》（发改体改〔2022〕118号）、《国家发展改革委、国家能源局关于建立健全电力辅助服务市场价格机制的通知》（发改价格〔2024〕196号）等有关规定，我们组织起草了《电力辅助服务市场基本规则》（以下简称《规则》），现印发给你们，并就有关事项通知如下。 一、国家能源局派出机构会同省级价格、能源主管,高,否,仅由新政策明文引用旧政策时生成
EVO-00139,AUTO-20260426-E51176BC68,国家能源局华中监管局关于印发《湖北、江西、重庆电力调频辅助服务市场运行规则》的通知,2025-04-02,AUTO-20260427-9347AA22F9,华中能源监管局关于印发《江西电力调频辅助服务市场运营规则》的通知,2022-12-29,引用依据,辅助服务,华中区域->华中区域,规则名称：江西电力调频辅助服务市场运营规则,> 的通知》（国能发监管规〔 2021 〕 61 号）等文件精神，华中能源监管局组织对《湖北电力调频辅助服务市场运营规则》《重庆电力调频辅助服务市场运营规则》《江西电力调频辅助服务市场运营规则》进行了修订，形成了《湖北、江西、重庆电力调频辅助服务市场运行规则》，并经三省市电力市场管理委员会审议通过，现予以印发，请遵照执行。 请电力调度机构尽快完成技术支,中,否,仅由新政策明文引用旧政策时生成
EVO-00140,AUTO-20260426-E51176BC68,国家能源局华中监管局关于印发《湖北、江西、重庆电力调频辅助服务市场运行规则》的通知,2025-04-02,AUTO-20260427-D122E3E18C,关于印发《重庆电力调频辅助服务市场运营规则》的通知,2022-12-09,引用依据,辅助服务,华中区域->华中区域,规则名称：重庆电力调频辅助服务市场运营规则,局关于印发 < 电力辅助服务管理办法 > 的通知》（国能发监管规〔 2021 〕 61 号）等文件精神，华中能源监管局组织对《湖北电力调频辅助服务市场运营规则》《重庆电力调频辅助服务市场运营规则》《江西电力调频辅助服务市场运营规则》进行了修订，形成了《湖北、江西、重庆电力调频辅助服务市场运行规则》，并经三省市电力市场管理委员会审议通过，现予以印发，请遵照,中,否,仅由新政策明文引用旧政策时生成
EVO-00141,AUTO-20260427-002763E163,关于印发《新疆电力市场监管实施办法》 的通知 新监能市场〔2025〕24号,2025-03-21,AUTO-20260427-E24F3D75D9,关于印发《电力中长期交易基本规则》的通知,2020-06-14,引用依据,电力市场,新疆->南方区域,规则名称：电力中长期交易基本规则,中共中央国务院关于进一步深化电力体制改 革的若干意见》《中共中央国务院关于加快建设全国统一大市场的 意见》《电力市场监管办法》《国家能源局能源争议纠纷调解规定》《电力中长期交易基本规则》和有关法律法规，结合新疆实际，制定本实施办法。 第二条 本实施办法适用于 新疆维吾尔自治区内的电力市场监管，其中涉及跨省跨区的按照国家有关规定执行。 第三条 国,中,否,仅由新政策明文引用旧政策时生成
EVO-00142,AUTO-20260427-002763E163,关于印发《新疆电力市场监管实施办法》 的通知 新监能市场〔2025〕24号,2025-03-21,AUTO-20260502-60F4C79A3D,关于印发《新疆电力市场监管实施细则（试行）》的通知,2019-01-17,引用依据,电力市场,新疆->新疆,规则名称：新疆电力市场监管实施细则（试行,》第三十四条的有关规定处理。 第十章 附则 第五十条 本实施办法由新疆能源监管办负责解释。 第五十一条 实施办法自发布之日起施行。 2019年1月10日发布的《新疆电力市场监管实施细则（试行）》（新监能市场〔2019〕10号）和《新疆区域售电公司监管办法（试行）》（新监能市场〔2019〕107号）同时废止。 附件： 扫一扫在手机打开当前页 网站地图,中,否,仅由新政策明文引用旧政策时生成
EVO-00143,AUTO-20260427-EDE85AAF9A,关于印发修订后的《上海电力中长期交易规则》的通知（华东监...,2025-02-21,AUTO-20260427-AD0E26D414,关于修订电力中长期交易规则的通知,2017-08-30,引用依据,中长期,华东区域->山东,标题明文：电力中长期交易规则,关于印发修订后的《上海电力中长期交易规则》的通知（华东监... 关于印发修订后的《上海电力中长期交易规则》的通知（华东监... 2025-02-21；OCR文本待人工复核 --- 第 1 页 OCR,中,否,仅由新政策明文引用旧政策时生成
EVO-00144,AUTO-20260427-EC24CC36EA,关于印发修订后的《安徽电力中长期交易规则》的通知（华东监...,2025-02-21,AUTO-20260427-AD0E26D414,关于修订电力中长期交易规则的通知,2017-08-30,引用依据,中长期,华东区域->山东,标题明文：电力中长期交易规则,关于印发修订后的《安徽电力中长期交易规则》的通知（华东监... 关于印发修订后的《安徽电力中长期交易规则》的通知（华东监... 2025-02-21；OCR文本待人工复核 --- 第 1 页 OCR,中,否,仅由新政策明文引用旧政策时生成
EVO-00145,AUTO-20260426-0D440B2FA1,关于印发《重庆市电力中长期交易规则》的通知,2024-12-19,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,中长期,华中区域->南方区域,规则名称：电力市场运行基本规则,华中监能市场 ﹝ 2024 ﹞ 149 号 国网西南分部，国网重庆市电力公司，重庆电力交易中心有限公司，重庆市各有关发电企业、售电公司、电力用户 ： 为贯彻落实《电力市场运行基本规则》（中华人民共和国国家发展和改革委员会第 20 号令）、 《国家发展改革委 国家能源局关于建立煤电容量电价机制的通知》（发改价格〔 2023 〕 1501 号）、,中,否,仅由新政策明文引用旧政策时生成
EVO-00146,AUTO-20260426-0D440B2FA1,关于印发《重庆市电力中长期交易规则》的通知,2024-12-19,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,中长期,华中区域->全国,规则名称：电力市场运行基本规则,华中监能市场 ﹝ 2024 ﹞ 149 号 国网西南分部，国网重庆市电力公司，重庆电力交易中心有限公司，重庆市各有关发电企业、售电公司、电力用户 ： 为贯彻落实《电力市场运行基本规则》（中华人民共和国国家发展和改革委员会第 20 号令）、 《国家发展改革委 国家能源局关于建立煤电容量电价机制的通知》（发改价格〔 2023 〕 1501 号）、,中,否,仅由新政策明文引用旧政策时生成
EVO-00147,AUTO-20260427-3AAD7C60CC,长三角省市间富余新能源消纳互济交易规则（试行）,2024-12-13,AUTO-20260502-99BECE515C,关于印发《四川省电力市场秩序突出问题专项监管实施方案》的通知 2024-06-17,2024-06-17,引用依据,新能源,华东区域->四川,文号：国务院令第432号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00148,AUTO-20260427-3AAD7C60CC,长三角省市间富余新能源消纳互济交易规则（试行）,2024-12-13,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,新能源,华东区域->全国,文号：国家发展改革委令第20号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00149,AUTO-20260427-3AAD7C60CC,长三角省市间富余新能源消纳互济交易规则（试行）,2024-12-13,AUTO-20260502-5CD4474B0A,广东省发展改革委 广东省能源局转发关于进一步推动新型储能参与电力市场和调度运用和“十四五”新型储能发展实施方案的通知,2022-06-24,引用依据,新能源,华东区域->广东,文号：发改办运行〔2022〕475号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00150,AUTO-20260427-3AAD7C60CC,长三角省市间富余新能源消纳互济交易规则（试行）,2024-12-13,AUTO-20260427-0ABCD56E46,关于进一步推动新型储能参与电力市场和调度运用的通知(发改办运行〔2022〕475号),2022-06-07,引用依据,新能源,华东区域->全国,文号：发改办运行〔2022〕475号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00151,AUTO-20260427-075F05064A,华东能源监管局关于扩展华东电力调峰辅助服务市场交易至日内...,2024-12-13,AUTO-20260502-99BECE515C,关于印发《四川省电力市场秩序突出问题专项监管实施方案》的通知 2024-06-17,2024-06-17,引用依据,辅助服务,华东区域->四川,文号：国务院令第432号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00152,AUTO-20260427-075F05064A,华东能源监管局关于扩展华东电力调峰辅助服务市场交易至日内...,2024-12-13,AUTO-20260427-42E984C2AA,关于进一步深化燃煤发电上网电价市场化改革的通知(发改价格〔2021〕1439号),2021-10-12,引用依据,辅助服务,华东区域->全国,文号：发改价格〔2021〕1439号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00153,AUTO-20260427-075F05064A,华东能源监管局关于扩展华东电力调峰辅助服务市场交易至日内...,2024-12-13,AUTO-20260502-342ED97968,华北能源监管局关于开展河北南网电力调峰辅助服务市场模拟运行的通知,2019-11-15,引用依据,辅助服务,华东区域->华北区域,文号：国能发监管〔2017〕67号,,高,否,仅由新政策明文引用旧政策时生成
EVO-00154,AUTO-20260502-80D4ECD388,北京市经济和信息化局关于印发《北京市新型储能产业发展实施方案（2024—2027年）》的通知,2024-12-05,AUTO-20260502-94D2FE448E,山西省能源局关于印发《“十四五”新型储能发展实施方案》的通知,2022-09-30,引用依据,储能,北京->山西,规则名称：十四五”新型储能发展实施方案,重要技术和基础装备，是实现碳达峰碳中和目标的重要支撑，也是催生国内能源新业态、抢占国际战略新高地的重要领域。为贯彻落实《关于加快推动新型储能发展的指导意见》《“十四五”新型储能发展实施方案》《北京市促进未来产业创新发展实施方案》等文件精神，把握产业发展机遇，整合资源优势，推动本市新型储能技术创新与产业发展，特制定本方案。 一、形势与基础 （一）发,中,否,仅由新政策明文引用旧政策时生成
EVO-00155,AUTO-20260502-80D4ECD388,北京市经济和信息化局关于印发《北京市新型储能产业发展实施方案（2024—2027年）》的通知,2024-12-05,AUTO-20260427-C2621C7DE7,关于印发《“十四五”新型储能发展实施方案》的通知(发改能源〔2022〕209号),2022-03-21,引用依据,储能,北京->全国,规则名称：十四五”新型储能发展实施方案,重要技术和基础装备，是实现碳达峰碳中和目标的重要支撑，也是催生国内能源新业态、抢占国际战略新高地的重要领域。为贯彻落实《关于加快推动新型储能发展的指导意见》《“十四五”新型储能发展实施方案》《北京市促进未来产业创新发展实施方案》等文件精神，把握产业发展机遇，整合资源优势，推动本市新型储能技术创新与产业发展，特制定本方案。 一、形势与基础 （一）发,中,否,仅由新政策明文引用旧政策时生成
EVO-00156,AUTO-20260427-CC8285BA8B,华中能源监管局关于征求《湖北、江西、重庆电力调频辅助服务市场运行规则（征求意见稿）》意见的通知,2024-11-20,AUTO-20260427-9347AA22F9,华中能源监管局关于印发《江西电力调频辅助服务市场运营规则》的通知,2022-12-29,引用依据,辅助服务,华中区域->华中区域,规则名称：江西电力调频辅助服务市场运营规则,> 的通知》（国能发监管规〔 2021 〕 61 号）等文件精神，华中能源监管局组织对《湖北电力调频辅助服务市场运营规则》《重庆电力调频辅助服务市场运营规则》《江西电力调频辅助服务市场运营规则》进行了修订，形成了《湖北、江西、重庆电力调频辅助服务市场运行规则（征求意见稿）》。 现向社会公开征求意见。欢迎有关单位和社会各界人士提出宝贵意见，于 2024,中,否,仅由新政策明文引用旧政策时生成
EVO-00157,AUTO-20260427-CC8285BA8B,华中能源监管局关于征求《湖北、江西、重庆电力调频辅助服务市场运行规则（征求意见稿）》意见的通知,2024-11-20,AUTO-20260427-D122E3E18C,关于印发《重庆电力调频辅助服务市场运营规则》的通知,2022-12-09,引用依据,辅助服务,华中区域->华中区域,规则名称：重庆电力调频辅助服务市场运营规则,局关于印发 < 电力辅助服务管理办法 > 的通知》（国能发监管规〔 2021 〕 61 号）等文件精神，华中能源监管局组织对《湖北电力调频辅助服务市场运营规则》《重庆电力调频辅助服务市场运营规则》《江西电力调频辅助服务市场运营规则》进行了修订，形成了《湖北、江西、重庆电力调频辅助服务市场运行规则（征求意见稿）》。 现向社会公开征求意见。欢迎有关单位和社会,中,否,仅由新政策明文引用旧政策时生成
EVO-00158,AUTO-20260427-D2550973DB,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发《广东省虚拟电厂参与电力市场交易实施方案》的通知,2024-11-18,AUTO-20260427-AF700450D9,电力市场注册基本规则,2024-09-13,引用依据,电力市场,广东->南方区域,规则名称：电力市场注册基本规则,源体系建设，按照《电力需求侧管理办法（2023年版）》《电力负荷管理办法（2023年版）》《关于加快建设全国统一电力市场体系的指导意见》《电力市场运行基本规则》《电力市场注册基本规则》《加快构建新型电力系统行动方案（2024—2027年）》《关于加强新能源汽车与电网融合互动的实施意见》等有关要求，我们研究制定了《广东省虚拟电厂参与电力市场交易,中,否,仅由新政策明文引用旧政策时生成
EVO-00159,AUTO-20260427-D2550973DB,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发《广东省虚拟电厂参与电力市场交易实施方案》的通知,2024-11-18,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,2024-09-13,引用依据,电力市场,广东->全国,规则名称：电力市场注册基本规则,源体系建设，按照《电力需求侧管理办法（2023年版）》《电力负荷管理办法（2023年版）》《关于加快建设全国统一电力市场体系的指导意见》《电力市场运行基本规则》《电力市场注册基本规则》《加快构建新型电力系统行动方案（2024—2027年）》《关于加强新能源汽车与电网融合互动的实施意见》等有关要求，我们研究制定了《广东省虚拟电厂参与电力市场交易,中,否,仅由新政策明文引用旧政策时生成
EVO-00160,AUTO-20260427-D2550973DB,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发《广东省虚拟电厂参与电力市场交易实施方案》的通知,2024-11-18,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,电力市场,广东->南方区域,规则名称：电力市场运行基本规则,助力新型电力系统和新型能源体系建设，按照《电力需求侧管理办法（2023年版）》《电力负荷管理办法（2023年版）》《关于加快建设全国统一电力市场体系的指导意见》《电力市场运行基本规则》《电力市场注册基本规则》《加快构建新型电力系统行动方案（2024—2027年）》《关于加强新能源汽车与电网融合互动的实施意见》等有关要求，我们研究制定了《广东省,中,否,仅由新政策明文引用旧政策时生成
EVO-00161,AUTO-20260427-D2550973DB,广东省发展和改革委员会 - 广东省能源局 国家能源局南方监管局关于印发《广东省虚拟电厂参与电力市场交易实施方案》的通知,2024-11-18,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,电力市场,广东->全国,规则名称：电力市场运行基本规则,助力新型电力系统和新型能源体系建设，按照《电力需求侧管理办法（2023年版）》《电力负荷管理办法（2023年版）》《关于加快建设全国统一电力市场体系的指导意见》《电力市场运行基本规则》《电力市场注册基本规则》《加快构建新型电力系统行动方案（2024—2027年）》《关于加强新能源汽车与电网融合互动的实施意见》等有关要求，我们研究制定了《广东省,中,否,仅由新政策明文引用旧政策时生成
EVO-00162,AUTO-20260427-D5C34F91B8,市工业和信息化局关于做好天津市2025年电力市场化交易工作的通知_委局文件_政务公开,2024-11-15,AUTO-20260427-E24F3D75D9,关于印发《电力中长期交易基本规则》的通知,2020-06-14,引用依据,电力市场,天津->南方区域,规则名称：电力中长期交易基本规则,公司、天津电力交易中心有限公司，各有关市场主体： 为深入贯彻《中共中央国务院关于进一步深化电力体制改革的若干意见》（中发〔 2015 〕 9 号）及其配套文件、《电力中长期交易基本规则》（发改能源规〔 2020 〕 889 号）、国家发改委《关于进一步深化燃煤发电上网电价市场化改革的通知》（发改价格〔 2021 〕 1439 号）、国家发改委办,中,否,仅由新政策明文引用旧政策时生成
EVO-00163,AUTO-20260427-9549320EF2,华中能源监管局关于《重庆市电力中长期交易规则（修订稿）》公开征求意见的通知,2024-11-01,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,中长期,华中区域->南方区域,规则名称：电力市场运行基本规则,17:06 来源：国家能源局华中监管局 Aa 字体： 小 | 中 | 大 华中能源监管局关于《重庆市电力中长期交易规则（修订稿）》公开征求意见的通知 为贯彻落实《电力市场运行基本规则》（国家发展改革委第 20 号令）、《国家发展改革委 国家能源局关于印发 < 电力中长期交易基本规则 > 的通知》 ( 发改能源规〔 2020 〕 889 号）、,中,否,仅由新政策明文引用旧政策时生成
EVO-00164,AUTO-20260427-9549320EF2,华中能源监管局关于《重庆市电力中长期交易规则（修订稿）》公开征求意见的通知,2024-11-01,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,中长期,华中区域->全国,规则名称：电力市场运行基本规则,17:06 来源：国家能源局华中监管局 Aa 字体： 小 | 中 | 大 华中能源监管局关于《重庆市电力中长期交易规则（修订稿）》公开征求意见的通知 为贯彻落实《电力市场运行基本规则》（国家发展改革委第 20 号令）、《国家发展改革委 国家能源局关于印发 < 电力中长期交易基本规则 > 的通知》 ( 发改能源规〔 2020 〕 889 号）、,中,否,仅由新政策明文引用旧政策时生成
EVO-00165,AUTO-20260427-9549320EF2,华中能源监管局关于《重庆市电力中长期交易规则（修订稿）》公开征求意见的通知,2024-11-01,AUTO-20260427-AD0E26D414,关于修订电力中长期交易规则的通知,2017-08-30,引用依据,中长期,华中区域->山东,标题明文：电力中长期交易规则,华中能源监管局关于《重庆市电力中长期交易规则（修订稿）》公开征求意见的通知 华中能源监管局关于《重庆市电力中长期交易规则（修订稿）》公开征求意见的通知 2024-11-01 华中能源监管局关于《重庆市电力,中,否,仅由新政策明文引用旧政策时生成
EVO-00166,AUTO-20260502-ABF8F264A5,关于印发《上海市绿色电力交易实施方案》的通知,2024-10-17,AUTO-20260502-151D70D93E,关于征求《福建电力市场中长期交易规则》补充修订意见的函,2021-01-19,引用依据,绿电,上海->福建,文号：发改能源规〔2020〕889号,，推进上海绿色电力交易工作有序开展，按照《上海市促进绿色电力消费加快能源低碳转型实施意见》（沪发改能源〔2024〕91号）要求，根据《电力中长期交易基本规则》（发改能源规〔2020〕889号）、《关于有序推进绿色电力交易有关事项的通知》（发改办体改〔2022〕821号）、《关于享受中央政府补贴的绿色项目参与绿电交易有关事项的通知》（发改体改〔202,高,否,仅由新政策明文引用旧政策时生成
EVO-00167,AUTO-20260502-ABF8F264A5,关于印发《上海市绿色电力交易实施方案》的通知,2024-10-17,AUTO-20260502-53881076C7,关于转发《国家发改委 国家能源局关于印发电力中长期交易基本规则的通知》,2020-09-09,引用依据,绿电,上海->新疆,文号：发改能源规〔2020〕889号,，推进上海绿色电力交易工作有序开展，按照《上海市促进绿色电力消费加快能源低碳转型实施意见》（沪发改能源〔2024〕91号）要求，根据《电力中长期交易基本规则》（发改能源规〔2020〕889号）、《关于有序推进绿色电力交易有关事项的通知》（发改办体改〔2022〕821号）、《关于享受中央政府补贴的绿色项目参与绿电交易有关事项的通知》（发改体改〔202,高,否,仅由新政策明文引用旧政策时生成
